run_id,network,dim,N,alpha_target,t,family,rep,dataset_seed,sample_seed,materialize_join
sample_size_d3_N50000_a10_t50000_F0_rep2,sample_size,3,50000,10.0,50000,F0,2,9028237677738978648,6805257034373339323,0
sample_size_d3_N50000_a10_t200000_F0_rep2,sample_size,3,50000,10.0,200000,F0,2,9028237677738978648,7282015456078432029,0
sample_size_d3_N50000_a10_t1000000_F0_rep2,sample_size,3,50000,10.0,1000000,F0,2,9028237677738978648,7813262764083521314,0
correctness_d3_N2000_a0p1_t200000_F1_rep0,correctness,3,2000,0.1,200000,F1,0,2107835923875694632,4593740391043547919,1
correctness_d3_N2000_a10_t200000_F1_rep0,correctness,3,2000,10.0,200000,F1,0,2966510441266565957,8602740606155691391,1
correctness_d3_N2000_a100_t200000_F1_rep0,correctness,3,2000,100.0,200000,F1,0,366577625734713464,8122919493488014592,1
density_d3_N50000_a0p1_t200000_F1_rep0,density,3,50000,0.1,200000,F1,0,4208601102237077163,749505523018635942,0
density_d3_N50000_a1_t200000_F1_rep0,density,3,50000,1.0,200000,F1,0,3071914932445206663,5017675337965369631,0
density_d3_N50000_a10_t200000_F1_rep0,density,3,50000,10.0,200000,F1,0,3556456937896051429,5132408609448505600,0
density_d3_N50000_a100_t200000_F1_rep0,density,3,50000,100.0,200000,F1,0,3743298724681656648,1890684000375456724,0
input_size_d3_N10000_a10_t200000_F1_rep0,input_size,3,10000,10.0,200000,F1,0,3392263617711559089,7458277381472767289,0
input_size_d3_N50000_a10_t200000_F1_rep0,input_size,3,50000,10.0,200000,F1,0,3556456937896051429,8162575359266943710,0
input_size_d3_N100000_a10_t200000_F1_rep0,input_size,3,100000,10.0,200000,F1,0,1742419752425554591,1132286678708146376,0
sample_size_d3_N50000_a10_t10000_F1_rep0,sample_size,3,50000,10.0,10000,F1,0,3556456937896051429,1065595426092788853,0
sample_size_d3_N50000_a10_t50000_F1_rep0,sample_size,3,50000,10.0,50000,F1,0,3556456937896051429,7526252382156731069,0
sample_size_d3_N50000_a10_t200000_F1_rep0,sample_size,3,50000,10.0,200000,F1,0,3556456937896051429,520600192692386353,0
sample_size_d3_N50000_a10_t1000000_F1_rep0,sample_size,3,50000,10.0,1000000,F1,0,3556456937896051429,7486744378295130121,0
density_d3_N50000_a0p1_t200000_F1_rep1,density,3,50000,0.1,200000,F1,1,2656702437991172301,6981366189915038317,0
density_d3_N50000_a1_t200000_F1_rep1,density,3,50000,1.0,200000,F1,1,6754157614752048058,6181542912973659314,0
density_d3_N50000_a10_t200000_F1_rep1,density,3,50000,10.0,200000,F1,1,9006128547228108665,3329185317025607099,0
density_d3_N50000_a100_t200000_F1_rep1,density,3,50000,100.0,200000,F1,1,5945206202504762380,448426946325519025,0
input_size_d3_N10000_a10_t200000_F1_rep1,input_size,3,10000,10.0,200000,F1,1,4516088259366467670,7140946272072386903,0
input_size_d3_N50000_a10_t200000_F1_rep1,input_size,3,50000,10.0,200000,F1,1,9006128547228108665,177941357730349135,0
input_size_d3_N100000_a10_t200000_F1_rep1,input_size,3,100000,10.0,200000,F1,1,3527195967524289375,1519024380139517298,0
sample_size_d3_N50000_a10_t10000_F1_rep1,sample_size,3,50000,10.0,10000,F1,1,9006128547228108665,5309275146197480465,0
sample_size_d3_N50000_a10_t50000_F1_rep1,sample_size,3,50000,10.0,50000,F1,1,9006128547228108665,1650904819892565621,0
sample_size_d3_N50000_a10_t200000_F1_rep1,sample_size,3,50000,10.0,200000,F1,1,9006128547228108665,1105837614589302506,0
sample_size_d3_N50000_a10_t1000000_F1_rep1,sample_size,3,50000,10.0,1000000,F1,1,9006128547228108665,3634907851756803108,0
density_d3_N50000_a0p1_t200000_F1_rep2,density,3,50000,0.1,200000,F1,2,1981147713494355105,1528362452681360154,0
density_d3_N50000_a1_t200000_F1_rep2,density,3,50000,1.0,200000,F1,2,9222579158583636300,4490288629528212466,0
density_d3_N50000_a10_t200000_F1_rep2,density,3,50000,10.0,200000,F1,2,7755286345262134208,6664606038095839683,0
density_d3_N50000_a100_t200000_F1_rep2,density,3,50000,100.0,200000,F1,2,4640039982750661844,7193349524974475443,0
input_size_d3_N10000_a10_t200000_F1_rep2,input_size,3,10000,10.0,200000,F1,2,6878313066374046736,7549137766401200740,0
input_size_d3_N50000_a10_t200000_F1_rep2,input_size,3,50000,10.0,200000,F1,2,7755286345262134208,8133407495516740769,0
input_size_d3_N100000_a10_t200000_F1_rep2,input_size,3,100000,10.0,200000,F1,2,8993311299565729451,4377900612248317549,0
sample_size_d3_N50000_a10_t10000_F1_rep2,sample_size,3,50000,10.0,10000,F1,2,7755286345262134208,3619791990682716227,0
sample_size_d3_N50000_a10_t50000_F1_rep2,sample_size,3,50000,10.0,50000,F1,2,7755286345262134208,98153027568619335,0
sample_size_d3_N50000_a10_t200000_F1_rep2,sample_size,3,50000,10.0,200000,F1,2,7755286345262134208,8579881328709003779,0
sample_size_d3_N50000_a10_t1000000_F1_rep2,sample_size,3,50000,10.0,1000000,F1,2,7755286345262134208,8670504486551810873,0
correctness_d4_N2000_a0p1_t200000_F0_rep0,correctness,4,2000,0.1,200000,F0,0,5300166331301732382,1009227790385075836,1
correctness_d4_N2000_a10_t200000_F0_rep0,correctness,4,2000,10.0,200000,F0,0,2982521494263097565,881729308498111659,1
correctness_d4_N2000_a100_t200000_F0_rep0,correctness,4,2000,100.0,200000,F0,0,7829323899608381787,7103360421226793008,1
density_d4_N50000_a0p1_t200000_F0_rep0,density,4,50000,0.1,200000,F0,0,3585602152296504580,8244733909738654813,0
density_d4_N50000_a1_t200000_F0_rep0,density,4,50000,1.0,200000,F0,0,6221065072838193685,633921484061827985,0
density_d4_N50000_a10_t200000_F0_rep0,density,4,50000,10.0,200000,F0,0,4267058043840366339,3380108533639147424,0
density_d4_N50000_a100_t200000_F0_rep0,density,4,50000,100.0,200000,F0,0,5056234610207637984,3613163342274023332,0
input_size_d4_N10000_a10_t200000_F0_rep0,input_size,4,10000,10.0,200000,F0,0,9206692519260740095,8330394876896064184,0
input_size_d4_N50000_a10_t200000_F0_rep0,input_size,4,50000,10.0,200000,F0,0,4267058043840366339,8012813840123335180,0
input_size_d4_N100000_a10_t200000_F0_rep0,input_size,4,100000,10.0,200000,F0,0,6005808880715028438,3363107005045303624,0
sample_size_d4_N50000_a10_t10000_F0_rep0,sample_size,4,50000,10.0,10000,F0,0,4267058043840366339,8633468428075452140,0
sample_size_d4_N50000_a10_t50000_F0_rep0,sample_size,4,50000,10.0,50000,F0,0,4267058043840366339,4136947122602907362,0
sample_size_d4_N50000_a10_t200000_F0_rep0,sample_size,4,50000,10.0,200000,F0,0,4267058043840366339,7843497992541755124,0
sample_size_d4_N50000_a10_t1000000_F0_rep0,sample_size,4,50000,10.0,1000000,F0,0,4267058043840366339,8483292904657788224,0
density_d4_N50000_a0p1_t200000_F0_rep1,density,4,50000,0.1,200000,F0,1,4091281248027970058,7281288688918469617,0
density_d4_N50000_a1_t200000_F0_rep1,density,4,50000,1.0,200000,F0,1,7365567692378191621,8517221081761879023,0
density_d4_N50000_a10_t200000_F0_rep1,density,4,50000,10.0,200000,F0,1,845238440559150835,7293145515246907309,0
density_d4_N50000_a100_t200000_F0_rep1,density,4,50000,100.0,200000,F0,1,5602570673520164957,6774745634160225329,0
input_size_d4_N10000_a10_t200000_F0_rep1,input_size,4,10000,10.0,200000,F0,1,3038181105284407137,5986105457373263200,0
input_size_d4_N50000_a10_t200000_F0_rep1,input_size,4,50000,10.0,200000,F0,1,845238440559150835,5807874041484504229,0
input_size_d4_N100000_a10_t200000_F0_rep1,input_size,4,100000,10.0,200000,F0,1,618766333210109891,3644978164972646330,0
sample_size_d4_N50000_a10_t10000_F0_rep1,sample_size,4,50000,10.0,10000,F0,1,845238440559150835,1241483122264934044,0
sample_size_d4_N50000_a10_t50000_F0_rep1,sample_size,4,50000,10.0,50000,F0,1,845238440559150835,3649604209281312003,0
sample_size_d4_N50000_a10_t200000_F0_rep1,sample_size,4,50000,10.0,200000,F0,1,845238440559150835,2295761662453307149,0
sample_size_d4_N50000_a10_t1000000_F0_rep1,sample_size,4,50000,10.0,1000000,F0,1,845238440559150835,1916984758983269674,0
density_d4_N50000_a0p1_t200000_F0_rep2,density,4,50000,0.1,200000,F0,2,3566261929647036537,434109137281469976,0
density_d4_N50000_a1_t200000_F0_rep2,density,4,50000,1.0,200000,F0,2,4500098729377446141,1027086601222481191,0
density_d4_N50000_a10_t200000_F0_rep2,density,4,50000,10.0,200000,F0,2,5477990052132126644,2676815932186833976,0
density_d4_N50000_a100_t200000_F0_rep2,density,4,50000,100.0,200000,F0,2,9048505158603370057,616892619222495292,0
input_size_d4_N10000_a10_t200000_F0_rep2,input_size,4,10000,10.0,200000,F0,2,798327533681654371,4365346663390708338,0
input_size_d4_N50000_a10_t200000_F0_rep2,input_size,4,50000,10.0,200000,F0,2,5477990052132126644,2111513339657990465,0
input_size_d4_N100000_a10_t200000_F0_rep2,input_size,4,100000,10.0,200000,F0,2,2384449590945574340,6524526455232242895,0
sample_size_d4_N50000_a10_t10000_F0_rep2,sample_size,4,50000,10.0,10000,F0,2,5477990052132126644,6368678426036261426,0
sample_size_d4_N50000_a10_t50000_F0_rep2,sample_size,4,50000,10.0,50000,F0,2,5477990052132126644,8565169584688814060,0
sample_size_d4_N50000_a10_t200000_F0_rep2,sample_size,4,50000,10.0,200000,F0,2,5477990052132126644,379470340319672139,0
sample_size_d4_N50000_a10_t1000000_F0_rep2,sample_size,4,50000,10.0,1000000,F0,2,5477990052132126644,5199042459626452959,0
correctness_d4_N2000_a0p1_t200000_F1_rep0,correctness,4,2000,0.1,200000,F1,0,6964139563382518542,4183324227583086853,1
