left_idx,w,V_count,P_count,C_count,H_count,S_prune,S_contain,D_count_max,V_search,P_search,B_mid,B_leaf,B_subtree,m,M_point,M_subtree,rho,sigma,avg_subtree_mass
132,25,133,60,5,68,9857,10,13,128,60,10,0,5,15,10,15,1.66667,0.6,3
133,14,94,40,6,48,9905,1,13,88,40,7,0,6,13,7,7,1.07692,0.5,1.16667
134,22,144,58,10,76,9849,7,13,134,58,5,0,10,15,5,17,1.46667,0.772727,1.7
135,25,96,41,7,48,9898,6,13,89,41,12,0,7,19,12,13,1.31579,0.52,1.85714
136,16,52,21,4,27,9948,0,13,48,21,12,0,4,16,12,4,1,0.25,1
137,20,132,56,8,68,9866,2,13,124,56,10,0,8,18,10,10,1.11111,0.5,1.25
138,24,89,37,7,45,9901,10,13,82,37,7,0,7,14,7,17,1.71429,0.708333,2.42857
139,7,41,18,2,21,9956,3,13,39,18,2,0,2,4,2,5,1.75,0.714286,2.5
140,21,128,50,11,67,9870,2,13,117,50,8,0,11,19,8,13,1.10526,0.619048,1.18182
141,11,56,25,3,28,9943,1,13,53,25,7,0,3,10,7,4,1.1,0.363636,1.33333
142,12,51,18,6,27,9946,3,13,45,18,3,0,6,9,3,9,1.33333,0.75,1.5
143,19,89,36,7,46,9906,5,13,82,36,7,0,7,14,7,12,1.35714,0.631579,1.71429
144,21,111,47,7,57,9888,1,13,104,47,13,0,7,20,13,8,1.05,0.380952,1.14286
145,22,90,36,8,46,9906,4,13,82,36,10,0,8,18,10,12,1.22222,0.545455,1.5
146,23,99,40,7,52,9895,6,13,92,40,10,0,7,17,10,13,1.35294,0.565217,1.85714
147,14,71,29,6,36,9928,1,13,65,29,7,0,6,13,7,7,1.07692,0.5,1.16667
148,20,79,32,6,41,9919,2,13,73,32,12,0,6,18,12,8,1.11111,0.4,1.33333
149,19,113,46,9,58,9886,1,13,104,46,9,0,9,18,9,10,1.05556,0.526316,1.11111
150,18,92,41,5,46,9904,4,13,87,41,9,0,5,14,9,9,1.28571,0.5,1.8
151,16,80,34,5,41,9916,4,13,75,34,7,0,5,12,7,9,1.33333,0.5625,1.8
152,18,83,35,6,42,9914,3,13,77,35,9,0,6,15,9,9,1.2,0.5,1.5
153,21,78,30,7,41,9918,4,13,71,30,10,0,7,17,10,11,1.23529,0.52381,1.57143
154,22,102,40,10,52,9894,4,13,92,40,8,0,10,18,8,14,1.22222,0.636364,1.4
155,15,59,22,6,31,9939,2,13,53,22,7,0,6,13,7,8,1.15385,0.533333,1.33333
156,20,95,39,8,48,9900,5,13,87,39,7,0,8,15,7,13,1.33333,0.65,1.625
157,21,114,49,6,59,9878,8,13,108,49,7,0,6,13,7,14,1.61538,0.666667,2.33333
158,18,66,25,6,35,9930,4,13,60,25,8,0,6,14,8,10,1.28571,0.555556,1.66667
159,18,74,26,8,40,9925,1,13,66,26,9,0,8,17,9,9,1.05882,0.5,1.125
160,21,66,27,6,33,9930,4,13,60,27,11,0,6,17,11,10,1.23529,0.47619,1.66667
161,23,85,35,6,44,9907,8,13,79,35,9,0,6,15,9,14,1.53333,0.608696,2.33333
162,16,71,29,5,37,9929,0,13,66,29,11,0,5,16,11,5,1,0.3125,1
163,26,119,47,9,63,9876,5,13,110,47,12,0,9,21,12,14,1.2381,0.538462,1.55556
164,17,49,19,6,24,9945,6,12,43,19,5,0,6,11,5,12,1.54545,0.705882,2
165,13,103,47,4,52,9896,1,13,99,47,8,0,4,12,8,5,1.08333,0.384615,1.25
166,13,83,36,4,43,9915,2,13,79,36,7,0,4,11,7,6,1.18182,0.461538,1.5
167,16,58,23,6,29,9938,4,13,52,23,6,0,6,12,6,10,1.33333,0.625,1.66667
168,27,107,41,10,56,9890,3,13,97,41,14,0,10,24,14,13,1.125,0.481481,1.3
169,17,44,16,6,22,9952,4,13,38,16,7,0,6,13,7,10,1.30769,0.588235,1.66667
170,24,92,36,7,49,9906,2,13,85,36,15,0,7,22,15,9,1.09091,0.375,1.28571
171,16,72,28,8,36,9926,2,13,64,28,6,0,8,14,6,10,1.14286,0.625,1.25
172,11,57,24,4,29,9939,4,13,53,24,3,0,4,7,3,8,1.57143,0.727273,2
173,25,69,25,8,36,9924,7,13,61,25,10,0,8,18,10,15,1.38889,0.6,1.875
174,28,115,46,10,59,9881,4,13,105,46,14,0,10,24,14,14,1.16667,0.5,1.4
175,11,93,41,5,47,9904,3,13,88,41,3,0,5,8,3,8,1.375,0.727273,1.6
176,17,118,52,6,60,9881,1,13,112,52,10,0,6,16,10,7,1.0625,0.411765,1.16667
177,20,117,49,8,60,9880,3,13,109,49,9,0,8,17,9,11,1.17647,0.55,1.375
178,23,120,52,6,62,9871,9,13,114,52,8,0,6,14,8,15,1.64286,0.652174,2.5
179,18,51,20,5,26,9944,5,13,46,20,8,0,5,13,8,10,1.38462,0.555556,2
180,16,46,18,5,23,9951,3,13,41,18,8,0,5,13,8,8,1.23077,0.5,1.6
181,23,125,50,11,64,9872,3,13,114,50,9,0,11,20,9,14,1.15,0.608696,1.27273
182,29,92,32,10,50,9904,4,13,82,32,15,0,10,25,15,14,1.16,0.482759,1.4
183,17,57,22,6,29,9941,2,13,51,22,9,0,6,15,9,8,1.13333,0.470588,1.33333
184,19,55,22,5,28,9937,8,13,50,22,6,0,5,11,6,13,1.72727,0.684211,2.6
185,24,94,38,8,48,9900,6,13,86,38,10,0,8,18,10,14,1.33333,0.583333,1.75
186,26,99,42,7,50,9893,8,13,92,42,11,0,7,18,11,15,1.44444,0.576923,2.14286
